AD_Org_ID[Value],C_AcctSchema_ID[Name],C_DocType_ID[Name],GL_Category_ID[Name],PostingType[Name],DateDoc,DateAcct,Description,DocAction,GL_JournalLine>Line/K,GL_JournalLine>Account_ID[Value],GL_JournalLine>AmtSourceDr,GL_JournalLine>AmtSourceCr
HQ,ベース会計スキーマ,GL Journal,GLJ-General Leger/Journal,実績,2022/1/1,2022/1/1,TEST001,完成にする,10,1111-01,1000,
,,,,,,,,,20,8111,,1000
HQ,ベース会計スキーマ,GL Journal,GLJ-General Leger/Journal,実績,2022/1/1,2022/1/1,TEST002,完成にする,10,1111-01,1000,
,,,,,,,,,20,8111,,1000
HQ,ベース会計スキーマ,GL Journal,GLJ-General Leger/Journal,実績,2022/1/1,2022/1/1,TEST003,完成にする,10,1111-01,1000,
,,,,,,,,,20,8111,,1000
HQ,ベース会計スキーマ,GL Journal,GLJ-General Leger/Journal,実績,2022/1/1,2022/1/1,TEST004,完成にする,10,1111-01,1000,
,,,,,,,,,20,8111,,1000
HQ,ベース会計スキーマ,GL Journal,GLJ-General Leger/Journal,実績,2022/1/1,2022/1/1,TEST005,完成にする,10,1111-01,1000,
,,,,,,,,,20,8111,,1000
HQ,ベース会計スキーマ,GL Journal,GLJ-General Leger/Journal,実績,2022/1/1,2022/1/1,TEST006,完成にする,10,1111-01,1000,
,,,,,,,,,20,8111,,1000
HQ,ベース会計スキーマ,GL Journal,GLJ-General Leger/Journal,実績,2022/1/1,2022/1/1,TEST007,完成にする,10,1111-01,1000,
,,,,,,,,,20,8111,,1000
HQ,ベース会計スキーマ,GL Journal,GLJ-General Leger/Journal,実績,2022/1/1,2022/1/1,TEST008,完成にする,10,1111-01,1000,
,,,,,,,,,20,8111,,1000
HQ,ベース会計スキーマ,GL Journal,GLJ-General Leger/Journal,実績,2022/1/1,2022/1/1,TEST009,完成にする,10,1111-01,1000,
,,,,,,,,,20,8111,,1000
HQ,ベース会計スキーマ,GL Journal,GLJ-General Leger/Journal,実績,2022/1/1,2022/1/1,TEST010,完成にする,10,1111-01,1000,
,,,,,,,,,20,8111,,1000
HQ,ベース会計スキーマ,GL Journal,GLJ-General Leger/Journal,実績,2022/1/1,2022/1/1,TEST011,完成にする,10,1111-01,1000,
,,,,,,,,,20,8111,,1000
HQ,ベース会計スキーマ,GL Journal,GLJ-General Leger/Journal,実績,2022/1/1,2022/1/1,TEST012,完成にする,10,1111-01,1000,
,,,,,,,,,20,8111,,1000
HQ,ベース会計スキーマ,GL Journal,GLJ-General Leger/Journal,実績,2022/1/1,2022/1/1,TEST013,完成にする,10,1111-01,1000,
,,,,,,,,,20,8111,,1000
HQ,ベース会計スキーマ,GL Journal,GLJ-General Leger/Journal,実績,2022/1/1,2022/1/1,TEST014,完成にする,10,1111-01,1000,
,,,,,,,,,20,8111,,1000
